epoch,is_train,cpu_time_str,cpu_time_total_str,device_time_str,device_time_total_str,self_cpu_time_total_str,self_device_time_total_str
0,True,245.929ms,12.296s,231.641ms,11.582s,23.185ms,0.000us
0,True,0.000us,0.000us,7.901ms,395.045ms,0.000us,395.045ms
0,False,448.549ms,5.831s,444.007ms,5.772s,4.476ms,0.000us
0,False,0.000us,0.000us,9.786ms,127.218ms,0.000us,127.218ms
1,True,253.169ms,12.658s,238.412ms,11.921s,22.798ms,0.000us
1,True,0.000us,0.000us,7.903ms,395.149ms,0.000us,395.149ms
1,False,289.166ms,3.759s,286.702ms,3.727s,4.566ms,0.000us
1,False,0.000us,0.000us,9.840ms,127.918ms,0.000us,127.918ms
2,True,253.023ms,12.651s,238.281ms,11.914s,22.157ms,0.000us
2,True,0.000us,0.000us,7.906ms,395.288ms,0.000us,395.288ms
2,False,289.146ms,3.759s,286.757ms,3.728s,4.397ms,0.000us
2,False,0.000us,0.000us,9.814ms,127.588ms,0.000us,127.588ms
3,True,253.484ms,12.674s,238.827ms,11.941s,22.908ms,0.000us
3,True,0.000us,0.000us,7.901ms,395.055ms,0.000us,395.055ms
3,False,289.073ms,3.758s,286.218ms,3.721s,5.491ms,0.000us
3,False,0.000us,0.000us,9.838ms,127.889ms,0.000us,127.889ms
4,True,253.065ms,12.653s,238.357ms,11.918s,22.322ms,0.000us
4,True,0.000us,0.000us,7.905ms,395.272ms,0.000us,395.272ms
4,False,289.495ms,3.763s,286.657ms,3.727s,5.344ms,0.000us
4,False,0.000us,0.000us,9.843ms,127.954ms,0.000us,127.954ms
5,True,717.686ms,35.884s,248.324ms,12.416s,34.119ms,0.000us
5,True,0.000us,0.000us,7.882ms,394.096ms,0.000us,394.096ms
5,False,284.431ms,3.698s,281.910ms,3.665s,4.700ms,0.000us
5,False,0.000us,0.000us,9.849ms,128.036ms,0.000us,128.036ms
6,True,714.682ms,35.734s,247.776ms,12.389s,31.999ms,0.000us
6,True,0.000us,0.000us,7.889ms,394.437ms,0.000us,394.437ms
6,False,282.900ms,3.678s,280.083ms,3.641s,5.343ms,0.000us
6,False,0.000us,0.000us,9.778ms,127.109ms,0.000us,127.109ms
7,True,711.735ms,35.587s,246.607ms,12.330s,34.761ms,0.000us
7,True,0.000us,0.000us,7.879ms,393.965ms,0.000us,393.965ms
7,False,282.972ms,3.679s,280.342ms,3.644s,5.028ms,0.000us
7,False,0.000us,0.000us,9.848ms,128.029ms,0.000us,128.029ms
8,True,713.727ms,35.686s,247.368ms,12.368s,33.554ms,0.000us
8,True,0.000us,0.000us,7.880ms,394.016ms,0.000us,394.016ms
8,False,282.636ms,3.674s,280.233ms,3.643s,4.651ms,0.000us
8,False,0.000us,0.000us,9.809ms,127.514ms,0.000us,127.514ms
9,True,712.781ms,35.639s,246.762ms,12.338s,31.719ms,0.000us
9,True,0.000us,0.000us,7.880ms,394.007ms,0.000us,394.007ms
9,False,283.293ms,3.683s,280.852ms,3.651s,4.528ms,0.000us
9,False,0.000us,0.000us,9.778ms,127.114ms,0.000us,127.114ms
10,True,713.973ms,35.699s,247.436ms,12.372s,30.548ms,0.000us
10,True,0.000us,0.000us,7.887ms,394.326ms,0.000us,394.326ms
10,False,283.017ms,3.679s,280.196ms,3.643s,5.451ms,0.000us
10,False,0.000us,0.000us,9.780ms,127.137ms,0.000us,127.137ms
10,False,283.575ms,3.686s,280.484ms,3.646s,6.444ms,0.000us
10,False,0.000us,0.000us,9.840ms,127.917ms,0.000us,127.917ms
10,True,241.666ms,12.083s,237.412ms,11.871s,19.708ms,0.000us
10,True,0.000us,0.000us,7.913ms,395.630ms,0.000us,395.630ms
10,False,289.566ms,3.764s,286.337ms,3.722s,6.831ms,0.000us
10,False,0.000us,0.000us,9.843ms,127.960ms,0.000us,127.960ms
10,True,242.616ms,12.131s,238.145ms,11.907s,20.727ms,0.000us
10,True,0.000us,0.000us,7.902ms,395.124ms,0.000us,395.124ms
10,False,289.400ms,3.762s,286.385ms,3.723s,5.553ms,0.000us
10,False,0.000us,0.000us,9.838ms,127.890ms,0.000us,127.890ms
10,True,242.600ms,12.130s,238.205ms,11.910s,20.523ms,0.000us
10,True,0.000us,0.000us,7.909ms,395.444ms,0.000us,395.444ms
10,False,289.419ms,3.762s,286.661ms,3.727s,5.269ms,0.000us
10,False,0.000us,0.000us,9.845ms,127.988ms,0.000us,127.988ms
10,True,242.653ms,12.133s,238.337ms,11.917s,20.292ms,0.000us
10,True,0.000us,0.000us,7.901ms,395.067ms,0.000us,395.067ms
10,False,289.134ms,3.759s,286.187ms,3.720s,5.632ms,0.000us
10,False,0.000us,0.000us,9.847ms,128.006ms,0.000us,128.006ms
10,True,242.413ms,12.121s,238.128ms,11.906s,19.893ms,0.000us
10,True,0.000us,0.000us,7.902ms,395.092ms,0.000us,395.092ms
10,False,288.838ms,3.755s,286.003ms,3.718s,5.267ms,0.000us
10,False,0.000us,0.000us,9.814ms,127.580ms,0.000us,127.580ms
10,True,242.711ms,12.136s,238.414ms,11.921s,20.238ms,0.000us
10,True,0.000us,0.000us,7.858ms,392.908ms,0.000us,392.908ms
10,False,289.457ms,3.763s,286.565ms,3.725s,5.411ms,0.000us
10,False,0.000us,0.000us,9.781ms,127.150ms,0.000us,127.150ms
10,True,242.744ms,12.137s,238.498ms,11.925s,19.405ms,0.000us
10,True,0.000us,0.000us,7.901ms,395.044ms,0.000us,395.044ms
10,False,287.980ms,3.744s,285.062ms,3.706s,5.505ms,0.000us
10,False,0.000us,0.000us,9.847ms,128.015ms,0.000us,128.015ms
10,True,242.365ms,12.118s,238.075ms,11.904s,20.180ms,0.000us
10,True,0.000us,0.000us,7.912ms,395.597ms,0.000us,395.597ms
10,False,287.544ms,3.738s,284.415ms,3.697s,5.857ms,0.000us
10,False,0.000us,0.000us,9.845ms,127.984ms,0.000us,127.984ms
10,True,242.599ms,12.130s,238.367ms,11.918s,19.632ms,0.000us
10,True,0.000us,0.000us,7.902ms,395.115ms,0.000us,395.115ms
10,False,289.700ms,3.766s,287.114ms,3.732s,5.405ms,0.000us
10,False,0.000us,0.000us,9.842ms,127.944ms,0.000us,127.944ms
10,True,242.688ms,12.134s,238.455ms,11.923s,19.828ms,0.000us
10,True,0.000us,0.000us,7.899ms,394.971ms,0.000us,394.971ms
10,False,288.182ms,3.746s,285.946ms,3.717s,4.628ms,0.000us
10,False,0.000us,0.000us,9.813ms,127.574ms,0.000us,127.574ms
10,True,242.682ms,12.134s,238.439ms,11.922s,19.971ms,0.000us
10,True,0.000us,0.000us,7.899ms,394.974ms,0.000us,394.974ms
10,False,288.180ms,3.746s,285.939ms,3.717s,4.499ms,0.000us
10,False,0.000us,0.000us,9.777ms,127.098ms,0.000us,127.098ms
10,True,242.461ms,12.123s,238.273ms,11.914s,19.297ms,0.000us
10,True,0.000us,0.000us,7.902ms,395.086ms,0.000us,395.086ms
10,False,288.373ms,3.749s,285.964ms,3.718s,4.511ms,0.000us
10,False,0.000us,0.000us,9.837ms,127.883ms,0.000us,127.883ms
10,True,242.588ms,12.129s,238.309ms,11.915s,19.937ms,0.000us
10,True,0.000us,0.000us,7.893ms,394.639ms,0.000us,394.639ms
10,False,288.023ms,3.744s,285.842ms,3.716s,4.117ms,0.000us
10,False,0.000us,0.000us,9.846ms,127.996ms,0.000us,127.996ms
10,True,242.489ms,12.124s,238.308ms,11.915s,19.232ms,0.000us
10,True,0.000us,0.000us,7.899ms,394.937ms,0.000us,394.937ms
10,False,288.358ms,3.749s,285.422ms,3.710s,6.036ms,0.000us
10,False,0.000us,0.000us,9.847ms,128.010ms,0.000us,128.010ms
10,True,242.386ms,12.119s,237.698ms,11.885s,21.943ms,0.000us
10,True,0.000us,0.000us,7.898ms,394.903ms,0.000us,394.903ms
10,False,288.867ms,3.755s,286.097ms,3.719s,5.225ms,0.000us
10,False,0.000us,0.000us,9.841ms,127.938ms,0.000us,127.938ms
10,True,242.725ms,12.136s,238.327ms,11.916s,20.545ms,0.000us
10,True,0.000us,0.000us,7.902ms,395.078ms,0.000us,395.078ms
10,False,288.095ms,3.745s,285.420ms,3.710s,5.253ms,0.000us
10,False,0.000us,0.000us,9.840ms,127.916ms,0.000us,127.916ms
10,True,242.388ms,12.119s,238.170ms,11.908s,19.647ms,0.000us
10,True,0.000us,0.000us,7.898ms,394.923ms,0.000us,394.923ms
10,False,288.664ms,3.753s,286.080ms,3.719s,5.839ms,0.000us
10,False,0.000us,0.000us,9.843ms,127.963ms,0.000us,127.963ms
10,True,242.637ms,12.132s,238.491ms,11.925s,19.087ms,0.000us
10,True,0.000us,0.000us,7.892ms,394.613ms,0.000us,394.613ms
10,False,288.092ms,3.745s,285.518ms,3.712s,5.012ms,0.000us
10,False,0.000us,0.000us,9.833ms,127.826ms,0.000us,127.826ms
10,True,242.838ms,12.142s,238.441ms,11.922s,20.851ms,0.000us
10,True,0.000us,0.000us,7.902ms,395.102ms,0.000us,395.102ms
10,False,287.820ms,3.742s,285.314ms,3.709s,5.218ms,0.000us
10,False,0.000us,0.000us,9.839ms,127.906ms,0.000us,127.906ms
10,True,242.393ms,12.120s,238.099ms,11.905s,19.827ms,0.000us
10,True,0.000us,0.000us,7.913ms,395.639ms,0.000us,395.639ms
10,False,288.234ms,3.747s,285.583ms,3.713s,5.229ms,0.000us
10,False,0.000us,0.000us,9.846ms,128.004ms,0.000us,128.004ms
11,True,709.969ms,35.498s,245.914ms,12.296s,31.224ms,0.000us
11,True,0.000us,0.000us,7.885ms,394.260ms,0.000us,394.260ms
11,False,282.842ms,3.677s,280.663ms,3.649s,4.382ms,0.000us
11,False,0.000us,0.000us,9.846ms,128.000ms,0.000us,128.000ms
12,True,711.716ms,35.586s,247.025ms,12.351s,27.068ms,0.000us
12,True,0.000us,0.000us,7.880ms,393.983ms,0.000us,393.983ms
12,False,282.350ms,3.671s,279.601ms,3.635s,5.379ms,0.000us
12,False,0.000us,0.000us,9.779ms,127.122ms,0.000us,127.122ms
13,True,713.737ms,35.687s,246.978ms,12.349s,29.347ms,0.000us
13,True,0.000us,0.000us,7.878ms,393.878ms,0.000us,393.878ms
13,False,282.877ms,3.677s,280.220ms,3.643s,5.304ms,0.000us
13,False,0.000us,0.000us,9.779ms,127.133ms,0.000us,127.133ms
14,True,713.128ms,35.656s,247.104ms,12.355s,28.780ms,0.000us
14,True,0.000us,0.000us,7.883ms,394.172ms,0.000us,394.172ms
14,False,283.075ms,3.680s,280.294ms,3.644s,5.441ms,0.000us
14,False,0.000us,0.000us,9.844ms,127.968ms,0.000us,127.968ms
15,True,713.280ms,35.664s,247.558ms,12.378s,26.505ms,0.000us
15,True,0.000us,0.000us,7.889ms,394.463ms,0.000us,394.463ms
15,False,282.543ms,3.673s,280.248ms,3.643s,4.575ms,0.000us
15,False,0.000us,0.000us,9.841ms,127.934ms,0.000us,127.934ms
16,True,712.439ms,35.622s,247.055ms,12.353s,26.769ms,0.000us
16,True,0.000us,0.000us,7.887ms,394.335ms,0.000us,394.335ms
16,False,282.458ms,3.672s,279.434ms,3.633s,5.538ms,0.000us
16,False,0.000us,0.000us,9.849ms,128.041ms,0.000us,128.041ms
17,True,712.283ms,35.614s,246.346ms,12.317s,34.297ms,0.000us
17,True,0.000us,0.000us,7.886ms,394.304ms,0.000us,394.304ms
17,False,282.540ms,3.673s,279.128ms,3.629s,6.275ms,0.000us
