epoch,is_train,cpu_time_str,cpu_time_total_str,device_time_str,device_time_total_str,self_cpu_time_total_str,self_device_time_total_str
0,True,81.130ms,4.057s,68.443ms,3.422s,28.414ms,0.000us
0,True,0.000us,0.000us,6.927ms,346.375ms,0.000us,346.375ms
0,False,90.133ms,3.966s,82.681ms,3.638s,24.020ms,0.000us
0,False,0.000us,0.000us,8.495ms,373.793ms,0.000us,373.793ms
1,True,81.151ms,4.058s,68.813ms,3.441s,29.156ms,0.000us
1,True,0.000us,0.000us,6.725ms,336.250ms,0.000us,336.250ms
1,False,89.479ms,3.937s,82.669ms,3.637s,23.567ms,0.000us
1,False,0.000us,0.000us,8.525ms,375.079ms,0.000us,375.079ms
2,True,81.383ms,4.069s,68.765ms,3.438s,30.120ms,0.000us
2,True,0.000us,0.000us,6.782ms,339.077ms,0.000us,339.077ms
2,False,89.999ms,3.960s,82.752ms,3.641s,23.917ms,0.000us
2,False,0.000us,0.000us,8.632ms,379.799ms,0.000us,379.799ms
3,True,81.310ms,4.066s,68.864ms,3.443s,28.880ms,0.000us
3,True,0.000us,0.000us,6.834ms,341.717ms,0.000us,341.717ms
3,False,89.942ms,3.957s,82.750ms,3.641s,24.227ms,0.000us
3,False,0.000us,0.000us,8.586ms,377.771ms,0.000us,377.771ms
4,True,81.428ms,4.071s,68.941ms,3.447s,29.415ms,0.000us
4,True,0.000us,0.000us,6.903ms,345.138ms,0.000us,345.138ms
4,False,89.799ms,3.951s,82.968ms,3.651s,23.116ms,0.000us
4,False,0.000us,0.000us,8.783ms,386.442ms,0.000us,386.442ms
0,True,72.043ms,3.602s,64.773ms,3.239s,23.217ms,0.000us
0,True,0.000us,0.000us,2.305ms,115.245ms,0.000us,115.245ms
0,False,91.187ms,4.012s,88.082ms,3.876s,15.374ms,0.000us
0,False,0.000us,0.000us,2.812ms,123.739ms,0.000us,123.739ms
1,True,73.407ms,3.670s,66.178ms,3.309s,20.970ms,0.000us
1,True,0.000us,0.000us,2.263ms,113.169ms,0.000us,113.169ms
1,False,79.615ms,3.503s,77.360ms,3.404s,15.413ms,0.000us
1,False,0.000us,0.000us,2.818ms,123.993ms,0.000us,123.993ms
5,True,210.277ms,10.514s,76.516ms,3.826s,33.073ms,0.000us
5,True,0.000us,0.000us,6.932ms,346.602ms,0.000us,346.602ms
5,False,89.570ms,3.941s,82.476ms,3.629s,24.311ms,0.000us
5,False,0.000us,0.000us,8.578ms,377.435ms,0.000us,377.435ms
2,True,73.534ms,3.677s,66.158ms,3.308s,22.495ms,0.000us
2,True,0.000us,0.000us,2.294ms,114.692ms,0.000us,114.692ms
2,False,80.015ms,3.521s,77.730ms,3.420s,15.164ms,0.000us
2,False,0.000us,0.000us,2.863ms,125.983ms,0.000us,125.983ms
3,True,73.903ms,3.695s,66.167ms,3.308s,24.289ms,0.000us
3,True,0.000us,0.000us,2.308ms,115.414ms,0.000us,115.414ms
