epoch,is_train,cpu_time_str,cpu_time_total_str,device_time_str,device_time_total_str,self_cpu_time_total_str,self_device_time_total_str
0,True,124.246ms,6.212s,114.730ms,5.736s,21.722ms,0.000us
0,True,0.000us,0.000us,4.112ms,205.584ms,0.000us,205.584ms
0,False,170.009ms,7.140s,166.955ms,7.012s,14.660ms,0.000us
0,False,0.000us,0.000us,5.154ms,216.459ms,0.000us,216.459ms
1,True,128.046ms,6.402s,118.388ms,5.919s,22.278ms,0.000us
1,True,0.000us,0.000us,4.224ms,211.187ms,0.000us,211.187ms
1,False,146.776ms,6.165s,144.342ms,6.062s,15.110ms,0.000us
1,False,0.000us,0.000us,5.238ms,220.007ms,0.000us,220.007ms
2,True,128.318ms,6.416s,118.352ms,5.918s,23.805ms,0.000us
2,True,0.000us,0.000us,4.152ms,207.602ms,0.000us,207.602ms
2,False,147.071ms,6.177s,143.717ms,6.036s,21.169ms,0.000us
2,False,0.000us,0.000us,5.241ms,220.135ms,0.000us,220.135ms
3,True,128.721ms,6.436s,117.728ms,5.886s,28.894ms,0.000us
3,True,0.000us,0.000us,4.128ms,206.375ms,0.000us,206.375ms
3,False,146.803ms,6.166s,144.275ms,6.060s,15.825ms,0.000us
3,False,0.000us,0.000us,5.228ms,219.556ms,0.000us,219.556ms
4,True,128.093ms,6.405s,118.142ms,5.907s,22.813ms,0.000us
4,True,0.000us,0.000us,4.196ms,209.788ms,0.000us,209.788ms
4,False,146.750ms,6.163s,144.274ms,6.060s,15.405ms,0.000us
4,False,0.000us,0.000us,5.177ms,217.445ms,0.000us,217.445ms
5,True,363.901ms,18.195s,125.675ms,6.284s,31.914ms,0.000us
5,True,0.000us,0.000us,4.149ms,207.436ms,0.000us,207.436ms
5,False,145.532ms,6.112s,143.054ms,6.008s,15.171ms,0.000us
5,False,0.000us,0.000us,5.220ms,219.244ms,0.000us,219.244ms
6,True,361.726ms,18.086s,124.768ms,6.238s,30.463ms,0.000us
6,True,0.000us,0.000us,4.150ms,207.484ms,0.000us,207.484ms
6,False,145.492ms,6.111s,142.992ms,6.006s,15.131ms,0.000us
6,False,0.000us,0.000us,5.199ms,218.359ms,0.000us,218.359ms
7,True,362.299ms,18.115s,124.965ms,6.248s,30.144ms,0.000us
7,True,0.000us,0.000us,4.152ms,207.622ms,0.000us,207.622ms
7,False,145.536ms,6.113s,143.102ms,6.010s,15.037ms,0.000us
7,False,0.000us,0.000us,5.216ms,219.089ms,0.000us,219.089ms
8,True,362.069ms,18.103s,124.792ms,6.240s,31.077ms,0.000us
8,True,0.000us,0.000us,4.155ms,207.758ms,0.000us,207.758ms
8,False,145.518ms,6.112s,143.113ms,6.011s,15.181ms,0.000us
8,False,0.000us,0.000us,5.176ms,217.396ms,0.000us,217.396ms
9,True,362.440ms,18.122s,124.915ms,6.246s,32.122ms,0.000us
9,True,0.000us,0.000us,4.126ms,206.297ms,0.000us,206.297ms
9,False,145.622ms,6.116s,143.111ms,6.011s,15.270ms,0.000us
9,False,0.000us,0.000us,5.197ms,218.256ms,0.000us,218.256ms
10,False,145.851ms,6.126s,142.631ms,5.990s,21.003ms,0.000us
10,False,0.000us,0.000us,5.229ms,219.635ms,0.000us,219.635ms
10,False,143.954ms,6.046s,141.072ms,5.925s,19.204ms,0.000us
10,False,0.000us,0.000us,5.232ms,219.757ms,0.000us,219.757ms
10,True,121.262ms,6.063s,116.887ms,5.844s,21.235ms,0.000us
10,True,0.000us,0.000us,4.207ms,210.346ms,0.000us,210.346ms
10,False,146.813ms,6.166s,144.048ms,6.050s,18.111ms,0.000us
10,False,0.000us,0.000us,5.243ms,220.207ms,0.000us,220.207ms
10,True,122.945ms,6.147s,118.530ms,5.926s,20.466ms,0.000us
10,True,0.000us,0.000us,4.215ms,210.739ms,0.000us,210.739ms
10,False,146.820ms,6.166s,143.957ms,6.046s,18.608ms,0.000us
10,False,0.000us,0.000us,5.232ms,219.731ms,0.000us,219.731ms
10,True,122.390ms,6.120s,118.182ms,5.909s,20.115ms,0.000us
