epoch,is_train,cpu_time_str,cpu_time_total_str,device_time_str,device_time_total_str,self_cpu_time_total_str,self_device_time_total_str
0,True,143.089ms,7.154s,127.202ms,6.360s,32.653ms,0.000us
0,True,0.000us,0.000us,14.641ms,732.056ms,0.000us,732.056ms
0,False,169.122ms,7.103s,160.641ms,6.747s,25.261ms,0.000us
0,False,0.000us,0.000us,17.592ms,738.863ms,0.000us,738.863ms
1,True,146.418ms,7.321s,129.968ms,6.498s,34.029ms,0.000us
1,True,0.000us,0.000us,13.984ms,699.221ms,0.000us,699.221ms
1,False,168.318ms,7.069s,160.542ms,6.743s,25.050ms,0.000us
1,False,0.000us,0.000us,17.484ms,734.342ms,0.000us,734.342ms
2,True,146.667ms,7.333s,129.977ms,6.499s,33.741ms,0.000us
2,True,0.000us,0.000us,14.041ms,702.071ms,0.000us,702.071ms
2,False,168.822ms,7.091s,160.655ms,6.748s,25.622ms,0.000us
2,False,0.000us,0.000us,17.683ms,742.692ms,0.000us,742.692ms
3,True,146.812ms,7.341s,130.258ms,6.513s,34.671ms,0.000us
3,True,0.000us,0.000us,14.304ms,715.202ms,0.000us,715.202ms
3,False,169.246ms,7.108s,160.843ms,6.755s,26.208ms,0.000us
3,False,0.000us,0.000us,17.757ms,745.791ms,0.000us,745.791ms
4,True,147.519ms,7.376s,130.433ms,6.522s,35.071ms,0.000us
4,True,0.000us,0.000us,14.408ms,720.384ms,0.000us,720.384ms
4,False,168.315ms,7.069s,160.415ms,6.737s,25.189ms,0.000us
4,False,0.000us,0.000us,17.560ms,737.499ms,0.000us,737.499ms
5,True,386.824ms,19.341s,139.744ms,6.987s,40.645ms,0.000us
5,True,0.000us,0.000us,13.895ms,694.752ms,0.000us,694.752ms
5,False,167.214ms,7.023s,159.412ms,6.695s,24.423ms,0.000us
5,False,0.000us,0.000us,17.543ms,736.823ms,0.000us,736.823ms
6,True,386.968ms,19.348s,139.305ms,6.965s,41.435ms,0.000us
6,True,0.000us,0.000us,13.874ms,693.715ms,0.000us,693.715ms
6,False,170.224ms,7.149s,160.762ms,6.752s,28.893ms,0.000us
6,False,0.000us,0.000us,19.284ms,809.944ms,0.000us,809.944ms
7,True,386.651ms,19.333s,139.112ms,6.956s,40.657ms,0.000us
7,True,0.000us,0.000us,13.869ms,693.432ms,0.000us,693.432ms
7,False,167.043ms,7.016s,159.283ms,6.690s,25.150ms,0.000us
7,False,0.000us,0.000us,17.926ms,752.889ms,0.000us,752.889ms
8,True,386.743ms,19.337s,139.269ms,6.963s,41.622ms,0.000us
8,True,0.000us,0.000us,13.838ms,691.877ms,0.000us,691.877ms
8,False,168.813ms,7.090s,160.193ms,6.728s,27.067ms,0.000us
8,False,0.000us,0.000us,18.695ms,785.210ms,0.000us,785.210ms
9,True,390.402ms,19.520s,141.051ms,7.053s,51.794ms,0.000us
9,True,0.000us,0.000us,15.880ms,794.011ms,0.000us,794.011ms
9,False,168.270ms,7.067s,160.038ms,6.722s,26.049ms,0.000us
9,False,0.000us,0.000us,18.034ms,757.420ms,0.000us,757.420ms
10,True,362.874ms,18.144s,125.142ms,6.257s,33.685ms,0.000us
10,True,0.000us,0.000us,4.144ms,207.199ms,0.000us,207.199ms
10,False,145.851ms,6.126s,142.631ms,5.990s,21.003ms,0.000us
10,False,0.000us,0.000us,5.229ms,219.635ms,0.000us,219.635ms
10,True,387.978ms,19.399s,139.606ms,6.980s,45.274ms,0.000us
