epoch,is_train,cpu_time_str,cpu_time_total_str,device_time_str,device_time_total_str,self_cpu_time_total_str,self_device_time_total_str
0,True,268.183ms,13.409s,252.023ms,12.601s,14.374ms,0.000us
0,True,0.000us,0.000us,23.542ms,1.177s,0.000us,1.177s
0,False,356.345ms,4.632s,353.574ms,4.596s,3.095ms,0.000us
0,False,0.000us,0.000us,28.564ms,371.336ms,0.000us,371.336ms
1,True,559.626ms,27.981s,523.416ms,26.171s,12.788ms,0.000us
1,True,0.000us,0.000us,23.217ms,1.161s,0.000us,1.161s
1,False,354.917ms,4.614s,352.176ms,4.578s,3.064ms,0.000us
1,False,0.000us,0.000us,28.601ms,371.815ms,0.000us,371.815ms
2,True,540.526ms,27.026s,507.229ms,25.361s,13.227ms,0.000us
2,True,0.000us,0.000us,22.811ms,1.141s,0.000us,1.141s
2,False,356.605ms,4.636s,353.818ms,4.600s,3.138ms,0.000us
2,False,0.000us,0.000us,29.204ms,379.649ms,0.000us,379.649ms
3,True,515.685ms,25.784s,482.322ms,24.116s,13.894ms,0.000us
3,True,0.000us,0.000us,24.102ms,1.205s,0.000us,1.205s
3,False,354.721ms,4.611s,352.088ms,4.577s,2.971ms,0.000us
3,False,0.000us,0.000us,28.542ms,371.049ms,0.000us,371.049ms
4,True,543.300ms,27.165s,505.685ms,25.284s,13.879ms,0.000us
4,True,0.000us,0.000us,23.985ms,1.199s,0.000us,1.199s
4,False,356.382ms,4.633s,353.568ms,4.596s,3.200ms,0.000us
4,False,0.000us,0.000us,29.276ms,380.588ms,0.000us,380.588ms
5,True,1.592s,79.582s,536.270ms,26.813s,15.365ms,0.000us
5,True,0.000us,0.000us,23.616ms,1.181s,0.000us,1.181s
5,False,346.408ms,4.503s,343.697ms,4.468s,3.101ms,0.000us
5,False,0.000us,0.000us,28.367ms,368.773ms,0.000us,368.773ms
6,True,1.619s,80.974s,537.481ms,26.874s,13.276ms,0.000us
6,True,0.000us,0.000us,22.700ms,1.135s,0.000us,1.135s
6,False,340.080ms,4.421s,337.018ms,4.381s,3.467ms,0.000us
6,False,0.000us,0.000us,28.233ms,367.034ms,0.000us,367.034ms
7,True,1.586s,79.307s,514.586ms,25.729s,13.507ms,0.000us
7,True,0.000us,0.000us,23.100ms,1.155s,0.000us,1.155s
7,False,343.787ms,4.469s,340.968ms,4.433s,3.175ms,0.000us
7,False,0.000us,0.000us,29.088ms,378.145ms,0.000us,378.145ms
8,True,1.464s,73.205s,471.379ms,23.569s,14.091ms,0.000us
8,True,0.000us,0.000us,22.754ms,1.138s,0.000us,1.138s
8,False,345.647ms,4.493s,342.998ms,4.459s,3.023ms,0.000us
8,False,0.000us,0.000us,28.149ms,365.933ms,0.000us,365.933ms
9,True,1.598s,79.902s,515.129ms,25.756s,13.469ms,0.000us
9,True,0.000us,0.000us,23.368ms,1.168s,0.000us,1.168s
9,False,345.183ms,4.487s,342.113ms,4.447s,3.340ms,0.000us
9,False,0.000us,0.000us,28.310ms,368.028ms,0.000us,368.028ms
10,True,1.346s,67.307s,453.557ms,22.678s,14.843ms,0.000us
10,True,0.000us,0.000us,23.942ms,1.197s,0.000us,1.197s
10,False,345.956ms,4.497s,342.863ms,4.457s,3.296ms,0.000us
10,False,0.000us,0.000us,28.795ms,374.335ms,0.000us,374.335ms
10,False,327.391ms,4.256s,324.500ms,4.219s,3.448ms,0.000us
10,False,0.000us,0.000us,27.769ms,360.992ms,0.000us,360.992ms
10,True,279.757ms,13.988s,274.874ms,13.744s,15.343ms,0.000us
10,True,0.000us,0.000us,23.217ms,1.161s,0.000us,1.161s
10,False,356.896ms,4.640s,354.024ms,4.602s,3.589ms,0.000us
10,False,0.000us,0.000us,28.417ms,369.422ms,0.000us,369.422ms
10,True,512.286ms,25.614s,507.911ms,25.396s,13.268ms,0.000us
10,True,0.000us,0.000us,23.673ms,1.184s,0.000us,1.184s
10,False,357.157ms,4.643s,354.032ms,4.602s,3.353ms,0.000us
10,False,0.000us,0.000us,28.369ms,368.799ms,0.000us,368.799ms
10,True,499.212ms,24.961s,495.380ms,24.769s,13.199ms,0.000us
10,True,0.000us,0.000us,22.657ms,1.133s,0.000us,1.133s
10,False,358.503ms,4.661s,355.625ms,4.623s,3.293ms,0.000us
10,False,0.000us,0.000us,28.333ms,368.335ms,0.000us,368.335ms
10,True,509.310ms,25.466s,505.124ms,25.256s,13.733ms,0.000us
10,True,0.000us,0.000us,23.078ms,1.154s,0.000us,1.154s
