epoch,is_train,cpu_time_str,cpu_time_total_str,device_time_str,device_time_total_str,self_cpu_time_total_str,self_device_time_total_str
0,True,70.851ms,3.543s,63.963ms,3.198s,19.350ms,0.000us
0,True,0.000us,0.000us,2.220ms,110.981ms,0.000us,110.981ms
0,False,91.514ms,4.027s,88.318ms,3.886s,16.617ms,0.000us
0,False,0.000us,0.000us,2.804ms,123.358ms,0.000us,123.358ms
1,True,73.638ms,3.682s,66.286ms,3.314s,21.776ms,0.000us
1,True,0.000us,0.000us,2.237ms,111.875ms,0.000us,111.875ms
1,False,79.497ms,3.498s,77.195ms,3.397s,16.167ms,0.000us
1,False,0.000us,0.000us,2.798ms,123.118ms,0.000us,123.118ms
2,True,73.518ms,3.676s,66.116ms,3.306s,22.297ms,0.000us
2,True,0.000us,0.000us,2.215ms,110.741ms,0.000us,110.741ms
2,False,79.528ms,3.499s,77.213ms,3.397s,15.034ms,0.000us
2,False,0.000us,0.000us,2.757ms,121.306ms,0.000us,121.306ms
3,True,73.692ms,3.685s,66.180ms,3.309s,24.849ms,0.000us
3,True,0.000us,0.000us,2.237ms,111.830ms,0.000us,111.830ms
3,False,79.268ms,3.488s,77.000ms,3.388s,14.891ms,0.000us
3,False,0.000us,0.000us,2.781ms,122.355ms,0.000us,122.355ms
4,True,73.668ms,3.683s,66.129ms,3.306s,24.309ms,0.000us
4,True,0.000us,0.000us,2.240ms,111.992ms,0.000us,111.992ms
4,False,79.854ms,3.514s,77.550ms,3.412s,15.418ms,0.000us
4,False,0.000us,0.000us,2.788ms,122.670ms,0.000us,122.670ms
5,True,203.432ms,10.172s,73.584ms,3.679s,30.040ms,0.000us
5,True,0.000us,0.000us,2.209ms,110.437ms,0.000us,110.437ms
5,False,78.616ms,3.459s,76.197ms,3.353s,15.759ms,0.000us
5,False,0.000us,0.000us,2.808ms,123.560ms,0.000us,123.560ms
6,True,202.585ms,10.129s,73.380ms,3.669s,32.790ms,0.000us
6,True,0.000us,0.000us,2.224ms,111.198ms,0.000us,111.198ms
6,False,78.562ms,3.457s,76.140ms,3.350s,15.727ms,0.000us
6,False,0.000us,0.000us,2.727ms,119.983ms,0.000us,119.983ms
7,True,202.595ms,10.130s,73.144ms,3.657s,31.176ms,0.000us
7,True,0.000us,0.000us,2.208ms,110.380ms,0.000us,110.380ms
7,False,78.538ms,3.456s,76.200ms,3.353s,15.187ms,0.000us
7,False,0.000us,0.000us,2.714ms,119.403ms,0.000us,119.403ms
8,True,202.341ms,10.117s,73.305ms,3.665s,31.919ms,0.000us
8,True,0.000us,0.000us,2.218ms,110.896ms,0.000us,110.896ms
8,False,78.455ms,3.452s,76.075ms,3.347s,15.602ms,0.000us
8,False,0.000us,0.000us,2.788ms,122.669ms,0.000us,122.669ms
9,True,202.404ms,10.120s,73.311ms,3.666s,31.036ms,0.000us
9,True,0.000us,0.000us,2.225ms,111.234ms,0.000us,111.234ms
9,False,78.477ms,3.453s,76.093ms,3.348s,15.683ms,0.000us
9,False,0.000us,0.000us,2.801ms,123.224ms,0.000us,123.224ms
10,True,202.320ms,10.116s,73.309ms,3.665s,33.871ms,0.000us
10,True,0.000us,0.000us,2.219ms,110.939ms,0.000us,110.939ms
10,False,78.604ms,3.459s,76.208ms,3.353s,15.705ms,0.000us
10,False,0.000us,0.000us,2.769ms,121.833ms,0.000us,121.833ms
10,False,77.222ms,3.398s,74.799ms,3.291s,15.652ms,0.000us
10,False,0.000us,0.000us,2.789ms,122.695ms,0.000us,122.695ms
10,True,69.674ms,3.484s,65.133ms,3.257s,21.028ms,0.000us
10,True,0.000us,0.000us,2.221ms,111.058ms,0.000us,111.058ms
10,False,79.855ms,3.514s,76.837ms,3.381s,20.982ms,0.000us
10,False,0.000us,0.000us,2.806ms,123.450ms,0.000us,123.450ms
10,True,70.608ms,3.530s,66.052ms,3.303s,21.376ms,0.000us
10,True,0.000us,0.000us,2.230ms,111.478ms,0.000us,111.478ms
10,False,79.430ms,3.495s,77.033ms,3.389s,15.423ms,0.000us
10,False,0.000us,0.000us,2.728ms,120.044ms,0.000us,120.044ms
10,True,70.548ms,3.527s,66.146ms,3.307s,20.581ms,0.000us
10,True,0.000us,0.000us,2.256ms,112.810ms,0.000us,112.810ms
10,False,79.394ms,3.493s,77.049ms,3.390s,15.896ms,0.000us
10,False,0.000us,0.000us,2.808ms,123.558ms,0.000us,123.558ms
10,True,70.583ms,3.529s,66.138ms,3.307s,24.374ms,0.000us
10,True,0.000us,0.000us,2.168ms,108.424ms,0.000us,108.424ms
10,False,79.606ms,3.503s,77.309ms,3.402s,15.777ms,0.000us
10,False,0.000us,0.000us,2.765ms,121.658ms,0.000us,121.658ms
10,True,70.521ms,3.526s,66.319ms,3.316s,19.642ms,0.000us
10,True,0.000us,0.000us,2.243ms,112.133ms,0.000us,112.133ms
10,False,79.568ms,3.501s,77.236ms,3.398s,15.285ms,0.000us
10,False,0.000us,0.000us,2.771ms,121.912ms,0.000us,121.912ms
10,True,70.484ms,3.524s,66.222ms,3.311s,19.641ms,0.000us
10,True,0.000us,0.000us,2.251ms,112.567ms,0.000us,112.567ms
10,False,79.484ms,3.497s,76.987ms,3.387s,17.422ms,0.000us
10,False,0.000us,0.000us,2.734ms,120.308ms,0.000us,120.308ms
10,True,70.705ms,3.535s,66.034ms,3.302s,21.531ms,0.000us
10,True,0.000us,0.000us,2.224ms,111.192ms,0.000us,111.192ms
10,False,79.512ms,3.499s,77.244ms,3.399s,15.061ms,0.000us
10,False,0.000us,0.000us,2.757ms,121.302ms,0.000us,121.302ms
10,True,70.691ms,3.535s,66.236ms,3.312s,20.560ms,0.000us
10,True,0.000us,0.000us,2.239ms,111.945ms,0.000us,111.945ms
10,False,79.244ms,3.487s,76.945ms,3.386s,15.268ms,0.000us
10,False,0.000us,0.000us,2.758ms,121.360ms,0.000us,121.360ms
10,True,70.527ms,3.526s,66.099ms,3.305s,21.330ms,0.000us
10,True,0.000us,0.000us,2.198ms,109.905ms,0.000us,109.905ms
10,False,79.343ms,3.491s,77.097ms,3.392s,15.039ms,0.000us
10,False,0.000us,0.000us,2.755ms,121.199ms,0.000us,121.199ms
10,True,70.549ms,3.527s,66.153ms,3.308s,21.227ms,0.000us
10,True,0.000us,0.000us,2.195ms,109.733ms,0.000us,109.733ms
10,False,79.480ms,3.497s,77.135ms,3.394s,15.522ms,0.000us
10,False,0.000us,0.000us,2.794ms,122.934ms,0.000us,122.934ms
10,True,70.531ms,3.527s,66.210ms,3.310s,20.705ms,0.000us
10,True,0.000us,0.000us,2.251ms,112.533ms,0.000us,112.533ms
10,False,80.223ms,3.530s,77.942ms,3.429s,15.698ms,0.000us
10,False,0.000us,0.000us,2.801ms,123.243ms,0.000us,123.243ms
10,True,70.612ms,3.531s,66.333ms,3.317s,20.163ms,0.000us
10,True,0.000us,0.000us,2.195ms,109.772ms,0.000us,109.772ms
10,False,79.867ms,3.514s,77.199ms,3.397s,17.356ms,0.000us
10,False,0.000us,0.000us,2.795ms,122.975ms,0.000us,122.975ms
10,True,70.663ms,3.533s,66.059ms,3.303s,21.846ms,0.000us
10,True,0.000us,0.000us,2.214ms,110.723ms,0.000us,110.723ms
10,False,79.528ms,3.499s,77.142ms,3.394s,15.579ms,0.000us
10,False,0.000us,0.000us,2.729ms,120.054ms,0.000us,120.054ms
10,True,70.528ms,3.526s,66.207ms,3.310s,20.650ms,0.000us
10,True,0.000us,0.000us,2.246ms,112.287ms,0.000us,112.287ms
10,False,79.502ms,3.498s,77.172ms,3.396s,15.564ms,0.000us
10,False,0.000us,0.000us,2.763ms,121.555ms,0.000us,121.555ms
10,True,70.267ms,3.513s,65.987ms,3.299s,19.818ms,0.000us
10,True,0.000us,0.000us,2.230ms,111.486ms,0.000us,111.486ms
10,False,79.661ms,3.505s,77.361ms,3.404s,15.193ms,0.000us
10,False,0.000us,0.000us,2.773ms,122.006ms,0.000us,122.006ms
