epoch,is_train,cpu_time_str,cpu_time_total_str,device_time_str,device_time_total_str,self_cpu_time_total_str,self_device_time_total_str
10,False,180.134ms,7.566s,173.740ms,7.297s,31.322ms,0.000us
10,False,0.000us,0.000us,18.756ms,787.769ms,0.000us,787.769ms
10,True,150.098ms,7.505s,142.287ms,7.114s,33.474ms,0.000us
10,True,0.000us,0.000us,14.203ms,710.149ms,0.000us,710.149ms
10,False,180.014ms,7.561s,173.798ms,7.300s,30.187ms,0.000us
10,False,0.000us,0.000us,18.759ms,787.868ms,0.000us,787.868ms
10,True,149.984ms,7.499s,142.444ms,7.122s,32.186ms,0.000us
10,True,0.000us,0.000us,14.367ms,718.362ms,0.000us,718.362ms
10,False,179.956ms,7.558s,173.710ms,7.296s,30.599ms,0.000us
10,False,0.000us,0.000us,18.775ms,788.535ms,0.000us,788.535ms
10,True,150.212ms,7.511s,142.532ms,7.127s,33.228ms,0.000us
10,True,0.000us,0.000us,14.462ms,723.117ms,0.000us,723.117ms
10,False,180.127ms,7.565s,173.935ms,7.305s,30.614ms,0.000us
10,False,0.000us,0.000us,18.880ms,792.941ms,0.000us,792.941ms
10,True,149.986ms,7.499s,142.378ms,7.119s,32.004ms,0.000us
10,True,0.000us,0.000us,14.316ms,715.805ms,0.000us,715.805ms
10,False,179.790ms,7.551s,173.563ms,7.290s,31.446ms,0.000us
10,False,0.000us,0.000us,18.615ms,781.817ms,0.000us,781.817ms
10,True,149.960ms,7.498s,142.278ms,7.114s,32.581ms,0.000us
10,True,0.000us,0.000us,14.293ms,714.632ms,0.000us,714.632ms
10,False,179.572ms,7.542s,173.402ms,7.283s,30.646ms,0.000us
10,False,0.000us,0.000us,18.537ms,778.547ms,0.000us,778.547ms
10,True,150.161ms,7.508s,142.581ms,7.129s,32.676ms,0.000us
10,True,0.000us,0.000us,14.459ms,722.940ms,0.000us,722.940ms
10,False,179.915ms,7.556s,173.735ms,7.297s,30.957ms,0.000us
10,False,0.000us,0.000us,18.697ms,785.259ms,0.000us,785.259ms
11,True,415.659ms,20.783s,150.243ms,7.512s,41.580ms,0.000us
11,True,0.000us,0.000us,14.346ms,717.295ms,0.000us,717.295ms
11,False,179.575ms,7.542s,173.419ms,7.284s,27.944ms,0.000us
11,False,0.000us,0.000us,18.753ms,787.629ms,0.000us,787.629ms
12,True,414.949ms,20.747s,150.044ms,7.502s,36.656ms,0.000us
12,True,0.000us,0.000us,14.074ms,703.725ms,0.000us,703.725ms
12,False,178.344ms,7.490s,172.790ms,7.257s,26.487ms,0.000us
12,False,0.000us,0.000us,18.347ms,770.569ms,0.000us,770.569ms
13,True,415.676ms,20.784s,150.156ms,7.508s,37.404ms,0.000us
13,True,0.000us,0.000us,14.249ms,712.443ms,0.000us,712.443ms
13,False,178.413ms,7.493s,172.845ms,7.259s,25.620ms,0.000us
13,False,0.000us,0.000us,18.415ms,773.442ms,0.000us,773.442ms
14,True,415.266ms,20.763s,150.146ms,7.507s,41.626ms,0.000us
14,True,0.000us,0.000us,14.243ms,712.161ms,0.000us,712.161ms
14,False,179.158ms,7.525s,173.422ms,7.284s,26.863ms,0.000us
14,False,0.000us,0.000us,18.731ms,786.709ms,0.000us,786.709ms
15,True,414.722ms,20.736s,149.921ms,7.496s,36.249ms,0.000us
15,True,0.000us,0.000us,14.006ms,700.282ms,0.000us,700.282ms
15,False,178.544ms,7.499s,173.070ms,7.269s,25.137ms,0.000us
15,False,0.000us,0.000us,18.266ms,767.185ms,0.000us,767.185ms
16,True,415.314ms,20.766s,150.300ms,7.515s,37.083ms,0.000us
16,True,0.000us,0.000us,14.264ms,713.176ms,0.000us,713.176ms
16,False,178.882ms,7.513s,173.450ms,7.285s,24.983ms,0.000us
16,False,0.000us,0.000us,18.725ms,786.435ms,0.000us,786.435ms
17,True,414.786ms,20.739s,149.822ms,7.491s,36.497ms,0.000us
17,True,0.000us,0.000us,13.947ms,697.367ms,0.000us,697.367ms
17,False,178.492ms,7.497s,173.102ms,7.270s,24.371ms,0.000us
17,False,0.000us,0.000us,18.339ms,770.223ms,0.000us,770.223ms
18,True,414.990ms,20.749s,149.956ms,7.498s,35.834ms,0.000us
18,True,0.000us,0.000us,14.074ms,703.715ms,0.000us,703.715ms
18,False,179.010ms,7.518s,173.448ms,7.285s,25.959ms,0.000us
18,False,0.000us,0.000us,18.658ms,783.624ms,0.000us,783.624ms
19,True,416.030ms,20.801s,150.338ms,7.517s,37.039ms,0.000us
19,True,0.000us,0.000us,14.320ms,715.978ms,0.000us,715.978ms
19,False,178.346ms,7.491s,173.059ms,7.268s,24.139ms,0.000us
19,False,0.000us,0.000us,18.446ms,774.746ms,0.000us,774.746ms
